Device;Load Type;Profile;Number of Activations
Space Heating;Space Heating;Heating profile - Internal: 38880 External:  34560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 388800 External:  384480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 390240 External:  385920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 391680 External:  387360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 393120 External:  388800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 394560 External:  390240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 396000 External:  391680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 397440 External:  393120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 398880 External:  394560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 400320 External:  396000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 401760 External:  397440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 40320 External:  36000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 403200 External:  398880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 404640 External:  400320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 406080 External:  401760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 407520 External:  403200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 408960 External:  404640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 410400 External:  406080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 411840 External:  407520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 413280 External:  408960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 414720 External:  410400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 416160 External:  411840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 41760 External:  37440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 417600 External:  413280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 419040 External:  414720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 420480 External:  416160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 421920 External:  417600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 423360 External:  419040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 424800 External:  420480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 426240 External:  421920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 427680 External:  423360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 429120 External:  424800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 430560 External:  426240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 4320 External:  0(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 43200 External:  38880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 432000 External:  427680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 433440 External:  429120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 434880 External:  430560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 436320 External:  432000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 437760 External:  433440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 439200 External:  434880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 440640 External:  436320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 442080 External:  437760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 443520 External:  439200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 444960 External:  440640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 44640 External:  40320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 446400 External:  442080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 447840 External:  443520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 449280 External:  444960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 450720 External:  446400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 452160 External:  447840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 453600 External:  449280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 455040 External:  450720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 456480 External:  452160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 457920 External:  453600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 459360 External:  455040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 46080 External:  41760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 460800 External:  456480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 462240 External:  457920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 463680 External:  459360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 465120 External:  460800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 466560 External:  462240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 468000 External:  463680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 469440 External:  465120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 470880 External:  466560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 472320 External:  468000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 473760 External:  469440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 47520 External:  43200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 475200 External:  470880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 476640 External:  472320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 478080 External:  473760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 479520 External:  475200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 480960 External:  476640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 482400 External:  478080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 483840 External:  479520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 485280 External:  480960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 486720 External:  482400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 488160 External:  483840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 48960 External:  44640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 489600 External:  485280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 491040 External:  486720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 492480 External:  488160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 493920 External:  489600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 495360 External:  491040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 496800 External:  492480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 498240 External:  493920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 499680 External:  495360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 501120 External:  496800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 502560 External:  498240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 50400 External:  46080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 504000 External:  499680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 505440 External:  501120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 506880 External:  502560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 508320 External:  504000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 509760 External:  505440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 511200 External:  506880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 512640 External:  508320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 514080 External:  509760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 515520 External:  511200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 516960 External:  512640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 51840 External:  47520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 518400 External:  514080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 519840 External:  515520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 521280 External:  516960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 522720 External:  518400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 524160 External:  519840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 525600 External:  521280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 527040 External:  522720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 528480 External:  524160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 53280 External:  48960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 54720 External:  50400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 56160 External:  51840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 5760 External:  1440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 57600 External:  53280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 59040 External:  54720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 60480 External:  56160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 61920 External:  57600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 63360 External:  59040(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 64800 External:  60480(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 66240 External:  61920(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 67680 External:  63360(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 69120 External:  64800(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 70560 External:  66240(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 7200 External:  2880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 72000 External:  67680(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 73440 External:  69120(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 74880 External:  70560(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 76320 External:  72000(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 77760 External:  73440(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 79200 External:  74880(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 80640 External:  76320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 82080 External:  77760(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 83520 External:  79200(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 84960 External:  80640(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 8640 External:  4320(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 86400 External:  82080(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 87840 External:  83520(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 89280 External:  84960(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 90720 External:  86400(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 92160 External:  87840(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 93600 External:  89280(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 95040 External:  90720(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 96480 External:  92160(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 97920 External:  93600(D) [Calculated from Heating Degree Days];1
Space Heating;Space Heating;Heating profile - Internal: 99360 External:  95040(D) [Calculated from Heating Degree Days];1
Steam Iron / Phillips HI 515;Apparent;0 h 45 min 100% [Synthetic];58
Steam Iron / Phillips HI 515;Apparent;01 h 0 min 100% [Synthetic];86
Steam Iron / Phillips HI 515;Electricity;0 h 45 min 100% [Synthetic];58
Steam Iron / Phillips HI 515;Electricity;01 h 0 min 100% [Synthetic];86
Steam Iron / Phillips HI 515;Inner Device Heat Gains;0 h 45 min 100% [Synthetic];58
Steam Iron / Phillips HI 515;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];86
Steam Iron / Phillips HI 515;Reactive;0 h 45 min 100% [Synthetic];58
Steam Iron / Phillips HI 515;Reactive;01 h 0 min 100% [Synthetic];86
Summer Camp;None;0 h 01 min 100% [Synthetic];2
Sunbed;None;01 h 30 min 100% [Synthetic];50
Sunbed 2;None;01 h 30 min 100% [Synthetic];46
Supermarket;None;01 h 30 min 100% [Synthetic];110
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 1,5h Apparent [Measurement by ZSW (1min)];328
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 15 min Apparent [Measurement by ZSW (1min)];166
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A 2h Apparent [Measurement by ZSW (1min)];673
TV Medion MD20123_DE_A;Apparent;Profile for TV Medion MD20123_DE_A Apparent [Measurement by ZSW (1min)];775
TV Medion MD20123_DE_A;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];8777
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 1,5h Electricity [Measurement by ZSW (1min)];328
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 15 min Electricity [Measurement by ZSW (1min)];166
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A 2h Electricity [Measurement by ZSW (1min)];673
TV Medion MD20123_DE_A;Electricity;Profile for TV Medion MD20123_DE_A Electricity [Measurement by ZSW (1min)];775
TV Medion MD20123_DE_A;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];8777
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 1,5h Electricity [Measurement by ZSW (1min)];328
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 15 min Electricity [Measurement by ZSW (1min)];166
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A 2h Electricity [Measurement by ZSW (1min)];673
TV Medion MD20123_DE_A;Inner Device Heat Gains;Profile for TV Medion MD20123_DE_A Electricity [Measurement by ZSW (1min)];775
TV Medion MD20123_DE_A;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];8777
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 1,5h Reactive [Measurement by ZSW (1min)];328
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 15 min Reactive [Measurement by ZSW (1min)];166
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A 2h Reactive [Measurement by ZSW (1min)];673
TV Medion MD20123_DE_A;Reactive;Profile for TV Medion MD20123_DE_A Reactive [Measurement by ZSW (1min)];775
TV Medion MD20123_DE_A;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];8777
Toaster / Bosch TAT8SL1;Apparent;0 h 01 min 100% [Synthetic];877
Toaster / Bosch TAT8SL1;Electricity;0 h 01 min 100% [Synthetic];877
Toaster / Bosch TAT8SL1;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];877
Toaster / Bosch TAT8SL1;Reactive;0 h 01 min 100% [Synthetic];877
Toilet 6 L/min;Cold Water;0 h 01 min 100% [Synthetic];3952
Toys;None;0 h 30 min 100% [Synthetic];111
Toys;None;01 h 0 min 100% [Synthetic];116
Toys;None;01 h 30 min 100% [Synthetic];112
Toys;None;02 h 0 min 100% [Synthetic];108
Tuba;None;04 h 0 min 100% [Synthetic];16
Walking Shoes;None;02 h 0 min 100% [Synthetic];70
Washing Machine AEG Öko Lavamat Carat 4658;Apparent;Profile for Washing Machine AEG Öko Lavamat Carat 4658 Apparent [Measured 1 min Resolution (TUC)];231
Washing Machine AEG Öko Lavamat Carat 4658;Apparent;Washing Machine Profile Measured 60°C 2h [Measured 1 min Resolution (Noah)];57
Washing Machine AEG Öko Lavamat Carat 4658;Cold Water;0 h 10 min 100% [Synthetic];288
Washing Machine AEG Öko Lavamat Carat 4658;Electricity;Profile for Washing Machine AEG Öko Lavamat Carat 4658 Electricity [Measured 1 min Resolution (TUC)];231
Washing Machine AEG Öko Lavamat Carat 4658;Electricity;Washing Machine Profile Measured 60°C 2h [Measured 1 min Resolution (Noah)];57
Washing Machine AEG Öko Lavamat Carat 4658;Inner Device Heat Gains;Profile for Washing Machine AEG Öko Lavamat Carat 4658 Electricity [Measured 1 min Resolution (TUC)];231
Washing Machine AEG Öko Lavamat Carat 4658;Inner Device Heat Gains;Washing Machine Profile Measured 60°C 2h [Measured 1 min Resolution (Noah)];57
Washing Machine AEG Öko Lavamat Carat 4658;Reactive;Profile for Washing Machine AEG Öko Lavamat Carat 4658 Electricity [Measured 1 min Resolution (TUC)];231
Washing Machine AEG Öko Lavamat Carat 4658;Reactive;Washing Machine Profile Measured 60°C 2h [Measured 1 min Resolution (Noah)];57
Watering Can;None;0 h 30 min 100% [Synthetic];129
Window;None;02 h 0 min 100% [Synthetic];15
Wooden Toys;None;01 h 0 min 100% [Synthetic];156
Wooden Toys;None;02 h 0 min 100% [Synthetic];161
