Device;Load Type;Profile;Number of Activations
Hand-held Circular Saw / Bosch PKS 66 AF;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];61
Hand-held Circular Saw / Bosch PKS 66 AF;Reactive;0 h 05 min 100% [Synthetic];61
Indoor Swimming Pool;None;02 h 0 min 100% [Synthetic];134
Kitchen Light (100W);Apparent;Kitchen - light [Synthetic for Light Device];1108
Kitchen Light (100W);Electricity;Kitchen - light [Synthetic for Light Device];1108
Kitchen Light (100W);Inner Device Heat Gains;Kitchen - light [Synthetic for Light Device];1108
Kitchen Light (100W);Reactive;Kitchen - light [Synthetic for Light Device];1108
Kitchen Sink (5L/min);Cold Water;0 h 01 min 100% [Synthetic];62
Kitchen Sink (5L/min);Warm Water;0 h 01 min 25% [unknown];142
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Apparent;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Apparent;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Electricity;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Electricity;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Inner Device Heat Gains;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Inner Device Heat Gains;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Reactive;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;Reactive;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Apparent;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Apparent;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Electricity;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Electricity;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Inner Device Heat Gains;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Inner Device Heat Gains;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Reactive;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Reactive;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Apparent;0 h 30 min 100% [Synthetic];321
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Apparent;01 h 0 min 30% [Synthetic];345
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Apparent;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Apparent;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Electricity;0 h 30 min 100% [Synthetic];321
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Electricity;01 h 0 min 30% [Synthetic];345
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Electricity;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Electricity;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];321
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Inner Device Heat Gains;01 h 0 min 30% [Synthetic];345
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Inner Device Heat Gains;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Inner Device Heat Gains;Cooking profile III 1h 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Reactive;0 h 30 min 100% [Synthetic];321
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Reactive;01 h 0 min 30% [Synthetic];345
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Reactive;Cooking profile II 40 min [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Reactive;Cooking profile III 1h 40 min [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Apparent;02 h 0 min 100% [Synthetic];46
Kitchen radio / AEG KRC 4323 CD;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8766
Kitchen radio / AEG KRC 4323 CD;Electricity;02 h 0 min 100% [Synthetic];46
Kitchen radio / AEG KRC 4323 CD;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8766
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];46
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8766
Kitchen radio / AEG KRC 4323 CD;Reactive;02 h 0 min 100% [Synthetic];46
Kitchen radio / AEG KRC 4323 CD;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];8766
Laptop Siemens Amilio from 2005;Apparent;Profile for Siemens Amilio 2005 Apparent [Measured 1 min Resolution (TUC)];1212
Laptop Siemens Amilio from 2005;Apparent;Standby Generic 1h 0 min 10% [Synthetic];8761
Laptop Siemens Amilio from 2005;Electricity;Profile for Siemens Amilio 2005 Electricity [Measured 1 min Resolution (TUC)];1212
Laptop Siemens Amilio from 2005;Electricity;Standby Generic 1h 0 min 10% [Synthetic];8761
Laptop Siemens Amilio from 2005;Inner Device Heat Gains;Profile for Siemens Amilio 2005 Electricity [Measured 1 min Resolution (TUC)];1212
Laptop Siemens Amilio from 2005;Inner Device Heat Gains;Standby Generic 1h 0 min 10% [Synthetic];8761
Laptop Siemens Amilio from 2005;Reactive;Profile for Siemens Amilio 2005 Electricity [Measured 1 min Resolution (TUC)];1212
Laptop Siemens Amilio from 2005;Reactive;Standby Generic 1h 0 min 10% [Synthetic];8761
Lawn Mower / Sabo 32-EL;Apparent;0 h 30 min 100% [Synthetic];28
Lawn Mower / Sabo 32-EL;Electricity;0 h 30 min 100% [Synthetic];28
Lawn Mower / Sabo 32-EL;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];28
Lawn Mower / Sabo 32-EL;Reactive;0 h 30 min 100% [Synthetic];28
Living Room Light (100W);Apparent;Living room - light [Synthetic for Light Device];1785
Living Room Light (100W);Electricity;Living room - light [Synthetic for Light Device];1785
Living Room Light (100W);Inner Device Heat Gains;Living room - light [Synthetic for Light Device];1785
Living Room Light (100W);Reactive;Living room - light [Synthetic for Light Device];1785
Magazine;None;01 h 0 min 100% [Synthetic];14
Microsoft Xbox 360;Apparent;01 h 0 min 100% [Synthetic];138
Microsoft Xbox 360;Apparent;Standby Xbox 01 h 0 min 3% [Synthetic];8758
Microsoft Xbox 360;Electricity;01 h 0 min 100% [Synthetic];138
Microsoft Xbox 360;Electricity;Standby Xbox 01 h 0 min 3% [Synthetic];8758
Microsoft Xbox 360;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];138
Microsoft Xbox 360;Inner Device Heat Gains;Standby Xbox 01 h 0 min 3% [Synthetic];8758
Microsoft Xbox 360;Reactive;01 h 0 min 100% [Synthetic];138
Microsoft Xbox 360;Reactive;Standby Xbox 01 h 0 min 3% [Synthetic];8758
Microwave / Panasonic NN 5259;Apparent;0 h 01 min 50% [Synthetic];2
Microwave / Panasonic NN 5259;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];8771
Microwave / Panasonic NN 5259;Electricity;0 h 01 min 50% [Synthetic];2
Microwave / Panasonic NN 5259;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];8771
Microwave / Panasonic NN 5259;Inner Device Heat Gains;0 h 01 min 50% [Synthetic];2
Microwave / Panasonic NN 5259;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];8771
Microwave / Panasonic NN 5259;Reactive;0 h 01 min 50% [Synthetic];2
Microwave / Panasonic NN 5259;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];8771
Miele DA 61;Apparent;01 h 0 min 100% [Synthetic];666
Miele DA 61;Electricity;01 h 0 min 100% [Synthetic];666
Miele DA 61;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];666
Miele DA 61;Reactive;01 h 0 min 100% [Synthetic];666
Miele T 7744 C;Apparent;Dryer Profile 2h [Measured 1 min resolution];206
Miele T 7744 C;Electricity;Dryer Profile 2h [Measured 1 min resolution];206
Miele T 7744 C;Inner Device Heat Gains;Dryer Profile 2h [Measured 1 min resolution];206
Miele T 7744 C;Reactive;Dryer Profile 2h [Measured 1 min resolution];206
Moulinex electronic 833;Apparent;0 h 10 min 100% [Synthetic];46
Moulinex electronic 833;Electricity;0 h 10 min 100% [Synthetic];46
Moulinex electronic 833;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];46
Moulinex electronic 833;Reactive;0 h 10 min 100% [Synthetic];46
Nespresso Coffee Machine, Single Cup;Apparent;Profile for Nespresso_single Apparent [Measurement by ZSW (1min)];92
Nespresso Coffee Machine, Single Cup;Electricity;Profile for Nespresso_single Electricity [Measurement by ZSW (1min)];92
Nespresso Coffee Machine, Single Cup;Inner Device Heat Gains;Profile for Nespresso_single Electricity [Measurement by ZSW (1min)];92
Nespresso Coffee Machine, Single Cup;Reactive;Profile for Nespresso_single Reactive [Measurement by ZSW (1min)];92
Newspaper;None;0 h 30 min 100% [Synthetic];616
Nintendo Wii;Apparent;01 h 0 min 100% [Synthetic];138
Nintendo Wii;Apparent;Standby Wii 01 h 0 min 12% [Synthetic];8784
Nintendo Wii;Electricity;01 h 0 min 100% [Synthetic];138
Nintendo Wii;Electricity;Standby Wii 01 h 0 min 12% [Synthetic];8784
Nintendo Wii;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];138
Nintendo Wii;Inner Device Heat Gains;Standby Wii 01 h 0 min 12% [Synthetic];8784
Nintendo Wii;Reactive;01 h 0 min 100% [Synthetic];138
Nintendo Wii;Reactive;Standby Wii 01 h 0 min 12% [Synthetic];8784
Office;None;09 h 0 min 100% [Synthetic];122
Osram Light Bulb Classic A 60W;Apparent;01 h 0 min 100% [Synthetic];14
Osram Light Bulb Classic A 60W;Electricity;01 h 0 min 100% [Synthetic];14
Osram Light Bulb Classic A 60W;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];14
Osram Light Bulb Classic A 60W;Reactive;01 h 0 min 100% [Synthetic];14
Outdoor Swimming Pool;None;06 h 0 min 100% [Synthetic];35
Oven / AEG B 33512-5-M;Apparent;Backing profile III 1h 15 min [Synthetic];2
Oven / AEG B 33512-5-M;Electricity;Backing profile III 1h 15 min [Synthetic];2
Oven / AEG B 33512-5-M;Inner Device Heat Gains;Backing profile III 1h 15 min [Synthetic];2
Oven / AEG B 33512-5-M;Reactive;Backing profile III 1h 15 min [Synthetic];2
PC / Acer Aspire M3640;Apparent;01 h 30 min 100% [Synthetic];405
PC / Acer Aspire M3640;Apparent;Standby PC 01 h 0 min 4% [Synthetic];8783
PC / Acer Aspire M3640;Electricity;01 h 30 min 100% [Synthetic];405
PC / Acer Aspire M3640;Electricity;Standby PC 01 h 0 min 4% [Synthetic];8783
PC / Acer Aspire M3640;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];405
PC / Acer Aspire M3640;Inner Device Heat Gains;Standby PC 01 h 0 min 4% [Synthetic];8783
PC / Acer Aspire M3640;Reactive;01 h 30 min 100% [Synthetic];405
PC / Acer Aspire M3640;Reactive;Standby PC 01 h 0 min 4% [Synthetic];8783
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Apparent;01 h 30 min 100% [Synthetic];405
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Apparent;Standby PC 01 h 0 min 4% [Synthetic];8757
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Electricity;01 h 30 min 100% [Synthetic];405
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Electricity;Standby PC 01 h 0 min 4% [Synthetic];8757
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];405
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Inner Device Heat Gains;Standby PC 01 h 0 min 4% [Synthetic];8757
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Reactive;01 h 30 min 100% [Synthetic];405
PC Monitor / Fujitsu Siemens Scaleoview D19-1;Reactive;Standby PC 01 h 0 min 4% [Synthetic];8757
Polishing Machine / Flex L 602 VR;Apparent;0 h 05 min 100% [Synthetic];61
Polishing Machine / Flex L 602 VR;Electricity;0 h 05 min 100% [Synthetic];61
Polishing Machine / Flex L 602 VR;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];61
Polishing Machine / Flex L 602 VR;Reactive;0 h 05 min 100% [Synthetic];61
